location_code,project_code
BGA212,other
BGA213,other
BGA214,other
BGA215,other
BGA216,other
BGA217,other
BGA218,other
BGA219,other
BGA220,other
BGA221,other
BGA222,other
BGA223,other
BGA224,other
BGA225A,other
BGA225B,other
BGA225C,other
BGA226A,other
BGA226B,other
BGA226C,other
BGA227A,other
BGA227B,other
BGA228A,other
BGA228B,other
BGA229A,other
BGA229B,other
BGA230,other
BGA231,other
BGA232,other
BGA233,other
BGA234,other
BGA235,other
BGA236,other
BGA237,other
BGA238,other
BGA239,other
BGA240,other
BGA241,other
BGA242,other
BGA243,other
BGA244,other
BGA245,other
BGA246,other
BGA247,other
BGA248,other
BGA249,other
BGA250,other
BGA251,other
BGA252,other
BGA253,other
BGA254,other
BGA255,other
BGA256,other
BGA257,other
BGA258,other
BGA259,other
BGA260,other
BGA261,other
BGA262,other
BGA263,other
BGA264,other
BGA265,other
BGA266,other
BGA267,other
BGA268,other
BGA269,other
BGA270,other
BGA271,other
BGA272,other
BGA273,other
BGA274,other
BGA275,other
BGA276,other
BGA277,other
BGA278,other
BGA279,other
BGA280,other
BGA281,other
BGA282,other
BGA283,other
BGA284,other
BGA285,other
BGA286,other
BGA287,other
BGA288,other
BGA289,other
BGA290,other
BGA291,other
BGA292,other
BGA293,other
BGA294,other
BGA295,other
BGA296,other
BGA297,other
BGA298,other
BGA299,other
BGA300,other
BGA301,other
BGA302,other
BGA303,other
BGA304,other
BGA305,other
BGA306,other
BGA307,other
BGA308,other
BGA309,other
BGA310,other
BGA311,other
BGA312,other
BGA314,other
BGA315,other
BGA316,other
BGA317,other
BGA318,other
BGA318A,other
BGA318B,other
BGA319,other
BGA320,other
BGA321,other
BGA322,other
BGA323,other
BGA324,other
BGA325,other
BGA326,other
BGA327,other
BGA328,other
BGA329,other
BGA330,other
BGA331,other
BGA332,other
BGA333,other
BGA334,other
BGA335,other
BGA336,other
BGA337,other
BGA338,other
BGA339,other
BGA340,other
BGA341,other
BGA342,other
BGA343,other
BGA344,other
BGA345,other
BGA346,other
BGA347,other
BGA348,other
BGA349,other
BGA350,other
BGA351,other
BGA352,other
BGA353,other
BGA354,other
BGA355,other
BGA357,other
BGA358,other
BGA359,other
BGA360,other
BGA361,other
BGA362,other
BGA363,other
BGA364,other
BGA365,other
BGA366,other
BGA367,other
BGA368,other
BGA369,other
BGA370,other
BGA371,other
BGA372,other
BGA373,other
BGA374,other
BGA376,other
BGA377,other
BGA378,other
BGA379,other
BGA380,other
BGA381,other
BGA382,other
BGA383,other
BGA384,other
BGA385,other
BGA386,other
BGA387,other
BGA388,other
BGA389,other
BGA390,other
BGA391,other
BGA392,other
BGA393,other
BGA394,other
BGA395,other
BGA396,other
BGA397,other
BGA398,other
BGA399,other
BGA400,other
BGA401,other
BGA402,other
BGA403,other
BGA404,other
BGA405,other
BGA406,other
BGA407,other
BGA408,other
BGA409,other
BGA410,other
BGA411,other
BGA412,other
BGA413,other
BGA414,other
BGA415,other
BGA416,other
BGA417,other
BGA418,other
BGA419,other
BGA420,other
BGA421,other
BGA422,other
BGA423,other
BGA424,other
BGA425,other
BGA426,other
BGA427,other
BGA428,other
BGA429,other
BGA431,other
BGA432,other
BGA433,other
BGA434,other
BGA435,other
BGA436,other
BGA437,other
BGA438,other
BGA439,other
BGA440,other
BGA441,other
BGA442,other
BGA443,other
BGA444,other
BGA445,other
BGA446,other
BGA447,other
BGA448,other
BGA449,other
BGA450,other
BGA451,other
BGA452,other
BGA453,other
BGA454,other
BGA455,other
BGA456,other
BGA457,other
BGA458,other
BGA459,other
BGA460,other
BGA461,other
BGA462,other
BGA463,other
BGA464,other
BGA465,other
BGA466,other
BGA468,other
BGA469,other
BGA470,other
BGA471,other
BGA472,other
BGA473,other
BGA474,other
BGA475,other
BGA476,other
BGA477,other
BGA478,other
BGA479,other
BGA480,other
BGA481,other
BGA482,other
BGA483,other
BGA484,other
BGA485,other
BGA486,other
BGA487,other
BGA488,other
BGA489,other
BGA490,other
BGA491,other
BGA492,other
BGA493,other
BGA494,other
BGA495,other
BGA496,other
BGA497,other
BGA498,other
BGA499,other
BGA500,other
BGA501,other
BGA502,other
BGA503,other
BGA505,other
BGA506,other
BGA507,other
BGA508,other
BGA509,other
BGA510,other
BGA511,other
BGA512,other
BGA513,other
BGA514,other
BGA515,other
BGA516,other
BGA517,other
BGA518,other
BGA519,other
BGA520,other
BGA521,other
BGA522,other
BGA523,other
BGA524,other
BGA525,other
BGA526,other
BGA527,other
BGA528,other
BGA529,other
BGA530,other
BGA531,other
BGA532,other
BGA533,other
BGA534,other
BGA535,other
BGA536,other
BGA537,other
BGA538,other
BGA539,other
BGA540,other
BGA542,other
BGA543,other
BGA544,other
BGA545,other
BGA546,other
BGA547,other
BGA548,other
BGA549,other
BGA550,other
BGA551,other
BGA553,other
BGA554,other
BGA555,other
BGA556,other
BGA557,other
BGA558,other
BGA559,other
BGA561,other
BGA562,other
BGA563,other
BGA564,other
BGA565,other
BGA566,other
BGA567,other
BGA568,other
BGA569,other
BGA570,other
BGA571,other
BGA572,other
BGA573,other
BGA574,other
BGA575,other
BGA576,other
BGA577,other
BGA578,other
BGA579,other
BGA580,other
BGA581,other
BGA582,other
BGA583,other
BGA584,other
BGA585,other
BGA586,other
BGA587,other
BGA588,other
BGA589,other
BGA590,other
BGA591,other
BGA592,other
BGA593,other
BGA594,other
BGA595,other
BGA596,other
BGA598,other
BGA599,other
BGA600,other
BGA601,other
BGA602,other
BGA603,other
BGA604,other
BGA605,other
BGA606,other
BGA607,other
BGA608,other
BGA609,other
BGA610,other
BGA611,other
BGA612,other
BGA613,other
BGA614,other
BGA616,other
BGA617,other
BGA618,other
BGA619,other
BGA620,other
BGA621,other
BGA622,other
BGA623,other
BGA625,other
BGA626,other
